ID_02_NAME,Urban_MEMBER,Total_MEMBER,Zila_urbanization
BAGERHAT,87,606,0.143564356
BANDARBAN,0,89,0
BARGUNA,345,737,0.468113976
BARISHAL,1463,2646,0.552910053
BHOLA,491,1574,0.311944091
BOGURA,724,1380,0.524637681
BRAHMANBARIA,192,666,0.288288288
CHANDPUR,373,918,0.406318083
CHAPAINABABGANJ,360,706,0.509915014
CHATTOGRAM,1906,2831,0.673260332
CHUADANGA,139,445,0.312359551
COX'S BAZAR,83,601,0.138103161
CUMILLA,488,1325,0.368301887
DHAKA,2310,2926,0.789473684
DINAJPUR,839,1493,0.561955794
FARIDPUR,83,340,0.244117647
FENI,175,361,0.484764543
GAIBANDHA,248,947,0.26187962
GAZIPUR,593,879,0.674630262
GOPALGANJ,0,163,0
HABIGANJ,572,1927,0.296834458
JAMALPUR,717,1528,0.469240838
JASHORE,577,1286,0.448678072
JHALOKATI,252,603,0.417910448
JHENAIDAH,411,814,0.504914005
JOYPURHAT,153,370,0.413513514
KHAGRACHHARI,88,190,0.463157895
KHULNA,884,1561,0.566303652
KISHOREGANJ,85,442,0.192307692
KURIGRAM,335,950,0.352631579
KUSHTIA,413,919,0.449401523
LAKSHMIPUR,90,420,0.214285714
LALMONIRHAT,82,504,0.162698413
MADARIPUR,74,241,0.307053942
MAGURA,82,323,0.253869969
MANIKGANJ,0,230,0
MEHERPUR,78,220,0.354545455
MOULVIBAZAR,421,1546,0.272315653
MUNSHIGANJ,0,152,0
MYMENSINGH,1875,4017,0.466766243
NAOGAON,226,885,0.255367232
NARAIL,85,263,0.323193916
NARAYANGANJ,254,590,0.430508475
NARSINGDI,89,365,0.243835616
NATORE,217,492,0.441056911
NETRAKONA,406,1349,0.300963677
NILPHAMARI,358,853,0.419695193
NOAKHALI,201,729,0.275720165
PABNA,466,960,0.485416667
PANCHAGARH,70,411,0.170316302
PATUAKHALI,438,1345,0.325650558
PIROJPUR,403,975,0.413333333
RAJBARI,0,159,0
RAJSHAHI,883,1306,0.67611026
RANGAMATI,90,187,0.481283422
RANGPUR,1030,1670,0.616766467
SATKHIRA,163,822,0.198296837
SHARIATPUR,75,258,0.290697674
SHERPUR,452,977,0.462640737
SIRAJGANJ,446,1168,0.381849315
SUNAMGANJ,464,2068,0.224371373
SYLHET,1827,3632,0.503028634
TANGAIL,74,521,0.142034549
THAKURGAON,234,546,0.428571429
